"","lat","lon"
"233",32.798559,-117.245961
"234",32.749744,-117.242996
"235",32.750764,-117.241993
"236",32.748681,-117.241273
"237",32.869972,-117.241793
"238",32.747543,-117.239543
"239",32.797864,-117.239731
"240",32.746232,-117.237447
"241",32.765237,-117.237601
"242",32.876949,-117.235533
"243",32.799062,-117.234323
"244",32.871496,-117.233107
"245",32.752249,-117.232596
"246",32.741333,-117.231047
"247",32.732805,-117.23128
"248",32.802198,-117.229528
"249",32.800263,-117.22882
"250",32.803448,-117.225708
"251",32.804965,-117.223405
"252",32.870592,-117.223248
"253",32.754362,-117.221538
"254",32.802185,-117.219615
"255",32.806445,-117.216889
"256",32.867232,-117.218619
"257",32.871465,-117.217861
"258",32.851276,-117.216235
"259",32.85095,-117.214988
"260",32.828417,-117.213002
"261",32.850724,-117.21296
"262",32.873694,-117.209088
"263",32.750285,-117.209104
"264",32.851883,-117.209944
"265",32.827605,-117.208514
"266",32.827584,-117.204874
"267",32.790261,-117.202797
"268",32.811618,-117.200558
"269",32.892518,-117.20095
"270",32.83437,-117.197424
"271",32.834353,-117.194201
"272",32.834384,-117.19118
"273",32.759261,-117.188449
"274",32.770327,-117.187919
"275",32.834355,-117.186694
"276",32.818075,-117.184965
"277",32.819356,-117.181326
"278",32.771515,-117.17987
"279",32.877589,-117.177995
"280",32.820161,-117.175479
"281",32.834225,-117.175154
"282",32.7156,-117.172492
"283",32.877608,-117.172252
"284",32.820169,-117.171175
"285",32.749745,-117.170182
"286",32.715622,-117.168818
"287",32.749748,-117.168309
"288",32.820544,-117.166495
"289",32.791217,-117.165071
"290",32.878678,-117.164342
"291",32.832478,-117.162882
"292",32.802784,-117.163108
"293",32.749804,-117.162283
"294",32.777938,-117.157427
"295",32.711436,-117.158784
"296",32.777295,-117.157713
"297",32.801721,-117.160025
"298",32.832544,-117.158712
"299",32.748268,-117.15893
"300",32.766324,-117.160209
"301",32.794868,-117.156827
"302",32.792407,-117.156499
"303",32.776069,-117.157736
"304",32.910661,-117.155114
"305",32.768192,-117.153296
"306",32.832613,-117.152339
"307",32.711451,-117.151489
"308",32.715697,-117.150049
"309",32.804616,-117.14978
"310",32.748352,-117.148939
"311",32.832645,-117.148315
"312",32.809477,-117.148098
"313",32.912368,-117.148726
"314",32.706211,-117.146351
"315",32.770628,-117.147172
"316",32.702395,-117.145736
"317",32.75512,-117.14571
"318",32.711464,-117.143676
"319",32.715735,-117.143736
"320",32.770727,-117.144505
"321",32.809552,-117.144177
"322",32.762411,-117.143507
"323",32.700116,-117.142424
"324",32.912583,-117.143035
"325",32.820548,-117.141659
"326",32.706272,-117.139524
"327",32.705164,-117.139861
"328",32.755142,-117.139706
"329",32.762804,-117.139822
"330",32.697842,-117.139144
"331",32.809625,-117.1397
"332",32.830821,-117.139767
"333",32.748378,-117.138496
"334",32.711531,-117.137835
"335",32.802944,-117.1382
"336",32.748395,-117.136509
"337",32.695798,-117.13558
"338",32.711532,-117.135751
"339",32.716819,-117.13585
"340",32.755163,-117.134781
"341",32.748394,-117.134346
"342",32.7011,-117.133296
"343",32.711545,-117.13356
"344",32.802419,-117.134
"345",32.762818,-117.133589
"346",32.91395,-117.132446
"347",32.75521,-117.129776
"348",32.695899,-117.129207
"349",32.80979,-117.129036
"350",32.748404,-117.127893
"351",32.755191,-117.127404
"352",32.763242,-117.126574
"353",32.748426,-117.125646
"354",32.691966,-117.124884
"355",32.695922,-117.124809
"356",32.916993,-117.126721
"357",32.763313,-117.124717
"358",32.695901,-117.122712
"359",32.774683,-117.12361
"360",32.748736,-117.121811
"361",32.705303,-117.116892
"362",32.76327,-117.120237
"363",32.701176,-117.118308
"364",32.701169,-117.116562
"365",32.711435,-117.116143
"366",32.749689,-117.116454
"367",32.711411,-117.113607
"368",32.763238,-117.113835
"369",32.711385,-117.111831
"370",32.960732,-117.113011
"371",32.763221,-117.110849
"372",32.701222,-117.110117
"373",32.901635,-117.110975
"374",32.711411,-117.108519
"375",32.787807,-117.108388
"376",32.956055,-117.109823
"377",32.723408,-117.107052
"378",32.675973,-117.106045
"379",32.763198,-117.106981
"380",32.704082,-117.105232
"381",32.749569,-117.105342
"382",32.676535,-117.103909
"383",32.700457,-117.101937
"384",32.898306,-117.104648
